lad_code,council,country,provider_id,collection_source_status,commercial_stage,priority,contact_name,contact_role,contact_email,last_contacted,next_action_date,next_action,notes
S12000019,Midlothian,Scotland,lad-s12000019,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000020,Moray,Scotland,lad-s12000020,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000021,North Ayrshire,Scotland,lad-s12000021,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000023,Orkney Islands,Scotland,lad-s12000023,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000026,Scottish Borders,Scotland,lad-s12000026,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000027,Shetland Islands,Scotland,lad-s12000027,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000028,South Ayrshire,Scotland,lad-s12000028,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000029,South Lanarkshire,Scotland,lad-s12000029,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000030,Stirling,Scotland,lad-s12000030,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000033,Aberdeen City,Scotland,lad-s12000033,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000034,Aberdeenshire,Scotland,lad-s12000034,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000035,Argyll and Bute,Scotland,lad-s12000035,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000036,City of Edinburgh,Scotland,lad-s12000036,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000038,Renfrewshire,Scotland,lad-s12000038,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000039,West Dunbartonshire,Scotland,lad-s12000039,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000040,West Lothian,Scotland,lad-s12000040,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000041,Angus,Scotland,lad-s12000041,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000042,Dundee City,Scotland,lad-s12000042,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000045,East Dunbartonshire,Scotland,lad-s12000045,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000047,Fife,Scotland,lad-s12000047,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000048,Perth and Kinross,Scotland,lad-s12000048,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000049,Glasgow City,Scotland,lad-s12000049,nationwide-routing-unverified,not-contacted,,,,,,,,
S12000050,North Lanarkshire,Scotland,lad-s12000050,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000001,Isle of Anglesey,Wales,lad-w06000001,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000002,Gwynedd,Wales,lad-w06000002,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000003,Conwy,Wales,lad-w06000003,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000004,Denbighshire,Wales,lad-w06000004,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000005,Flintshire,Wales,lad-w06000005,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000006,Wrexham,Wales,lad-w06000006,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000008,Ceredigion,Wales,lad-w06000008,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000009,Pembrokeshire,Wales,lad-w06000009,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000010,Carmarthenshire,Wales,lad-w06000010,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000011,Swansea,Wales,lad-w06000011,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000012,Neath Port Talbot,Wales,lad-w06000012,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000013,Bridgend,Wales,lad-w06000013,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000014,Vale of Glamorgan,Wales,lad-w06000014,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000015,Cardiff,Wales,lad-w06000015,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000016,Rhondda Cynon Taf,Wales,lad-w06000016,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000018,Caerphilly,Wales,lad-w06000018,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000019,Blaenau Gwent,Wales,lad-w06000019,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000020,Torfaen,Wales,lad-w06000020,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000021,Monmouthshire,Wales,lad-w06000021,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000022,Newport,Wales,lad-w06000022,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000023,Powys,Wales,lad-w06000023,nationwide-routing-unverified,not-contacted,,,,,,,,
W06000024,Merthyr Tydfil,Wales,lad-w06000024,nationwide-routing-unverified,not-contacted,,,,,,,,
